Timestamp,acc.z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
347882,0.9998494982719421,31531,30413,29348,30419
347892,1.0010181665420532,38232,37511,36532,37186
347902,1.0024611949920654,45413,44471,43638,44531
347912,1.0016981363296509,47636,47517,46119,46613
347922,0.9941662549972534,52084,51655,51375,51240
347932,1.0047242641448975,55396,54312,54478,54207
347942,1.0152606964111328,57846,57459,55216,56392
347952,1.0054503679275513,58272,57463,58553,59259
347962,1.0075572729110718,59500,58560,59114,60012
347972,0.9897024631500244,61145,59040,58346,58500
347982,1.021175742149353,60520,60395,58956,58474
347992,0.9824798703193665,60047,58957,58711,58649
348002,1.0479145050048828,59303,57263,57998,58950
348012,1.1698312759399414,57626,55905,57656,57311
348022,1.2820228338241577,56421,54722,56595,56293
348032,1.3246344327926636,56717,54292,57210,55709
348042,1.3752275705337524,55333,55675,56330,52540
348052,1.4408907890319824,55350,53356,56557,52399
348062,1.4474060535430908,53098,52310,56478,53353
348072,1.442437767982483,52579,52793,56727,51108
348082,1.4758845567703247,52250,53550,55334,50772
348092,1.4881945848464966,53330,52710,55186,50737
348102,1.5074533224105835,52403,53072,55000,50492
348112,1.5135154724121094,53938,53030,54249,48892
348122,1.520314335823059,54633,53287,52268,49342
348132,1.5028371810913086,55335,52805,51960,48797
348142,1.4962478876113892,54140,52263,52410,50361
348152,1.4875068664550781,53981,51047,53097,51070
348162,1.4738438129425049,52894,50559,53267,52262
348172,1.4777854681015015,52593,49947,53617,52710
348182,1.4533824920654297,52385,50713,53298,52299
348192,1.4535647630691528,52778,50201,52834,53129
348202,1.4474316835403442,53518,50445,51858,52802
348212,1.4315197467803955,53287,50443,51861,53042
348222,1.424760103225708,52764,51189,52701,52113
348232,1.4125570058822632,52432,51673,53086,51577
348242,1.4103000164031982,52225,51448,53421,51635
348252,1.4187239408493042,52032,52244,53841,50479
348262,1.408204436302185,51964,52259,53871,50500
348272,1.3961870670318604,52104,52084,54284,49972
348282,1.4011417627334595,52579,52435,53719,49782
348292,1.3957712650299072,52666,51928,54275,49492
348302,1.383023738861084,52935,51577,53678,50384
348312,1.3946224451065063,53468,50801,53678,50539
348322,1.385450005531311,53136,50609,53655,51163
348332,1.3940173387527466,53510,49608,53885,51362
348342,1.3933310508728027,53089,49722,53720,51946
348352,1.3942853212356567,53422,48763,54051,52309
348362,1.390772819519043,52777,49198,54054,52325
348372,1.3830329179763794,52933,49435,54447,51803
348382,1.3790124654769897,53007,50352,54056,51399
348392,1.3806233406066895,53188,50525,54490,50436
348402,1.371635913848877,53167,51016,53999,50635
348412,1.3801981210708618,53608,51087,54240,49662
348422,1.3738856315612793,53519,51179,53868,50198
348432,1.3642327785491943,53734,50842,54261,49727
348442,1.3465065956115723,53559,51446,53976,49708
348452,1.346951961517334,49313,44971,50993,44913
348462,1.3345261812210083,37806,31924,40104,33557
348472,1.2942198514938354,37343,29124,41043,33884
348482,1.2111265659332275,35375,29143,38772,32472
348492,1.1319667100906372,33953,26612,39205,31991
348502,1.0543434619903564,32573,26975,38774,32093
348512,1.0127313137054443,33325,26924,38495,30964
348522,0.9988019466400146,33526,28608,37146,29815
348532,0.9443778991699219,34140,28401,36828,28743
348542,0.9176669716835022,34667,30011,35355,27473
348552,0.8750683069229126,35760,29417,34550,26943
348562,0.8720144629478455,35945,30431,33216,26386
348572,0.8444532752037048,36862,29576,32786,26648
348582,0.8213699460029602,36489,29874,32100,26765
348592,0.7901341915130615,36375,29546,31920,26621
348602,0.7824478149414062,35588,29374,32058,26794
348612,0.7370056509971619,46167,40655,42742,40546
348622,0.8044127225875854,52066,45590,48299,49408
348632,0.8290964961051941,52652,42833,47463,51104
348642,0.8701755404472351,55157,40989,48883,54866
348652,0.9339610934257507,55967,41285,50430,56330
348662,0.9654115438461304,55840,42968,51542,56368
348672,1.020583152770996,54321,49791,54029,53116
348682,1.073507308959961,53753,52073,55291,51166
348692,1.1080982685089111,50918,56333,57311,44462
348702,1.1388561725616455,50992,55983,57545,45070
348712,1.1851094961166382,49209,58122,58218,39140
348722,1.1892390251159668,51382,56341,57346,43720
348732,1.2219181060791016,50633,56937,57279,42873
348742,1.2378349304199219,45920,57860,55718,25300
348752,1.233508586883545,29991,51765,46587,4225
348762,1.2263572216033936,26501,49473,48811,8145
348772,1.1786491870880127,29918,42010,45607,19467
348782,1.116148829460144,33483,30793,39461,30662
348792,1.0904451608657837,38492,17219,34113,39624
348802,1.0327173471450806,40005,12466,30111,42571
348812,0.9952735900878906,42592,86,28376,46982
348822,0.9440481066703796,42715,1385,26686,46563
348832,0.9398685097694397,42991,0,28573,46463
348842,0.9071577787399292,43266,2222,27053,45654
348852,0.8866044878959656,44186,2776,26812,44190
348862,0.8843267560005188,40945,14821,29863,38131
348872,0.880314826965332,39567,19197,31823,34224
348882,0.8439957499504089,35408,28513,34841,26335
348892,0.8058798909187317,33760,33458,36065,19838
348902,0.7790896892547607,31080,37849,37550,13776
348912,0.7847824096679688,29026,40527,38941,8714
348922,0.7723811268806458,28548,40580,39177,8338
348932,0.7243910431861877,28281,40716,39384,7022
348942,0.7373846173286438,29602,37979,37853,11995
348952,0.7500776648521423,30381,36364,36605,14388
348962,0.7038383483886719,31383,32255,34976,19646
348972,0.6954033374786377,32407,28097,32617,25066
348982,0.679936945438385,33360,23311,31147,29127
348992,0.6818078756332397,33835,18856,28866,33796
349002,0.695297360420227,45892,32386,41729,46334
349012,0.7035806179046631,45579,30266,41127,48227
349022,0.7536337971687317,54275,33551,44455,54275
349032,0.7770540118217468,55294,34574,45132,55392
349042,0.8237640857696533,56806,34603,47002,56899
349052,0.8688053488731384,56455,35960,46033,56899
349062,0.9544195532798767,57395,38513,47528,57683
349072,1.025274634361267,54845,48748,51163,55473
349082,1.0367977619171143,53740,52962,54024,50748
349092,1.096915602684021,50220,57876,57238,42878
349102,1.1221636533737183,50635,58464,57752,40298
349112,1.1512799263000488,54657,58489,54657,23291
349122,1.1528058052062988,50347,58489,57891,32380
349132,1.1893607378005981,49021,58308,57339,34178
349142,1.206638216972351,47078,57949,57949,36359
349152,1.2188653945922852,44978,57683,57683,38613
349162,1.197211503982544,36886,55419,56574,32540
349172,1.1944074630737305,29740,39152,44753,29099
349182,1.1723507642745972,36139,25886,38983,39979
349192,1.1147644519805908,42100,8119,29669,47024
349202,1.050238013267517,43410,4440,26276,47446
349212,1.0405352115631104,43726,1388,28055,46847
349222,0.9963489174842834,43883,2810,26692,46725
349232,0.9782753586769104,44859,1586,27176,45604
349242,0.9593818783760071,45496,4856,24259,44592
349252,0.9607840180397034,46321,4559,24061,43429
349262,0.943520188331604,45540,9912,23314,41360
349272,0.9026803374290466,44014,15230,26729,36754
349282,0.8938187956809998,39243,25009,31259,29962
349292,0.9007397890090942,35540,31357,36141,21559
349302,0.8543316721916199,31183,36505,38326,15918
349312,0.8311870098114014,27668,40413,41511,7403
349322,0.8012028932571411,26562,41235,41284,6981
349332,0.7979565262794495,25417,41794,42705,4391
349342,0.7913497686386108,27260,40275,40615,8330
349352,0.765080451965332,30381,39444,40330,12620
349362,0.7758463025093079,47435,48505,50082,39613
349372,0.7627400159835815,50374,48338,50547,46312
349382,0.8028046488761902,53488,46113,49716,51588
349392,0.8631331324577332,57158,37743,44992,57158
349402,0.9599148631095886,58038,37170,46589,58038
349412,0.997555136680603,58038,36506,47084,58038
349422,1.0451714992523193,58128,36852,46943,58128
349432,1.0896728038787842,58038,37374,46433,58038
349442,1.131011724472046,57949,37883,45921,57949
349452,1.1663538217544556,56955,42945,49139,57013
349462,1.1877896785736084,55018,49493,52292,53318
349472,1.2042999267578125,51562,54927,55890,46417
349482,1.214569091796875,50298,56393,56941,44321
349492,1.2244846820831299,47440,58038,58038,36014
349502,1.2335337400436401,46530,58038,58038,37248
349512,1.2355161905288696,46661,57771,57771,36618
349522,1.2527453899383545,43264,57419,57683,34587
349532,1.2333874702453613,25174,47531,50729,10274
349542,1.2079459428787231,24758,46077,49353,14176
349552,1.1500446796417236,33602,35712,41762,25345
349562,1.1214072704315186,38710,26645,34070,34395
349572,1.070147156715393,44672,13262,25089,42021
349582,1.0098739862442017,45675,8961,21640,44384
349592,0.9833874106407166,44928,6301,23403,44913
349602,0.9522146582603455,44671,5932,23387,45306
349612,0.948311448097229,44950,5064,23674,44909
349622,0.9418572187423706,45046,5571,22834,44564
349632,0.9236027598381042,45181,4280,23403,44157
349642,0.908696174621582,42809,11944,25858,40433
349652,0.9221863150596619,40916,15478,29308,37049
349662,0.8804223537445068,36029,25689,33636,29508
349672,0.8359456062316895,31878,30936,37872,22275
349682,0.807668924331665,28958,35630,38866,17186
349692,0.7741797566413879,27062,39319,40716,9748
349702,0.7900345325469971,27207,40290,40133,9435
349712,0.7822858691215515,27145,41202,40753,5644
349722,0.7781591415405273,29378,38817,37934,10253
349732,0.7599409222602844,31344,37715,36782,11242
